City_ID,City,Country,Max Temp,Description,Lat,lng,Hotel Name
5,Geraldton,AU,75.61,clear sky,-28.7667,114.6,Ocean Centre Hotel
7,Busselton,AU,73.44,clear sky,-33.65,115.3333,No hotel found
10,Sao Raimundo Nonato,BR,71.55,scattered clouds,-9.0153,-42.6994,Pousada Zabelê
12,Butaritari,KI,81.81,light rain,3.0707,172.7902,No hotel found
13,Carnarvon,AU,75.06,clear sky,-24.8667,113.6333,No hotel found
16,Victoria,HK,72.25,overcast clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
18,Boende,CD,73.65,light rain,-0.2167,20.8667,No hotel found
23,Vaini,TO,82.56,light rain,-21.2,-175.2,Keleti International Resort
29,Itacare,BR,72.37,broken clouds,-14.2775,-38.9967,Pousada Raisis
32,Dingle,PH,86.49,broken clouds,10.9995,122.6711,No hotel found
33,Matara,LK,89.19,moderate rain,5.9485,80.5353,Villa Palm Breeze
35,Atuona,PF,81.28,broken clouds,-9.8,-139.0333,Pearl Resort
36,Mahebourg,MU,84.25,broken clouds,-20.4081,57.7,Grand Bel Air
38,Beroroha,MG,78.28,overcast clouds,-21.6667,45.1667,No hotel found
43,Clarence Town,AU,76.95,clear sky,-32.5833,151.7833,Erringhi Hotel
45,Urucui,BR,73.0,broken clouds,-7.2294,-44.5561,No hotel found
49,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
50,Rikitea,PF,76.68,scattered clouds,-23.1203,-134.9692,Chez Bianca & Benoit
51,Faanui,PF,83.39,light rain,-16.4833,-151.75,Oa Oa Lodge
56,Hervey Bay,AU,84.29,clear sky,-25.2986,152.8535,Hervey Bay Hotel
58,Belmonte,BR,75.51,few clouds,-15.8631,-38.8828,No hotel found
59,Puerto Ayacucho,VE,75.67,heavy intensity rain,5.6639,-67.6236,Hotel VENETUR Amazonas
64,Hilo,US,73.13,light rain,19.7297,-155.09,Dolphin Bay Hotel
68,Sambava,MG,81.63,scattered clouds,-14.2667,50.1667,Royal Sava Hôtel
69,Pontianak,ID,89.58,scattered clouds,-0.0333,109.3333,Golden Tulip Hotel
78,Sao Filipe,CV,71.17,overcast clouds,14.8961,-24.4956,Bela Vista
81,Acapulco,MX,78.62,clear sky,16.8634,-99.8901,Hotel del Valle
84,Lorengau,PG,83.62,moderate rain,-2.0226,147.2712,Seeadler Bay Hotel
85,Martapura,ID,89.69,scattered clouds,-3.4167,114.85,Q-Hotel Grand Dafam
88,Bambous Virieux,MU,84.22,broken clouds,-20.3428,57.7575,No hotel found
92,Namalenga,TZ,74.05,overcast clouds,-10.95,39.1,No hotel found
93,Saint-Philippe,RE,83.79,light rain,-21.3585,55.7679,Le Baril
95,Mpwapwa,TZ,71.89,few clouds,-6.35,36.4833,Ark hotel
101,Puerto Ayora,EC,76.55,overcast clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
