City_ID,City,Country,Lat,lng,Max Temp,Humidity,Cloudiness,wind Speed,Description
0,Oranjemund,NA,-28.55,16.4333,60.44,86,52,14.81,broken clouds
1,Mount Isa,AU,-20.7333,139.5,92.97,22,42,5.75,scattered clouds
2,Inuvik,CA,68.3499,-133.7218,-1.34,78,20,5.75,few clouds
3,Punta Arenas,CL,-53.15,-70.9167,42.91,81,75,9.22,broken clouds
4,Klaksvik,FO,62.2266,-6.589,45.52,93,68,22.86,broken clouds
5,Geraldton,AU,-28.7667,114.6,75.61,41,0,16.11,clear sky
6,Hermanus,ZA,-34.4187,19.2345,55.8,74,100,6.2,overcast clouds
7,Busselton,AU,-33.65,115.3333,73.44,41,2,12.5,clear sky
8,Katsuura,JP,35.1333,140.3,66.22,55,5,25.46,clear sky
9,Longyearbyen,SJ,78.2186,15.6401,12.04,62,75,9.22,broken clouds
10,Sao Raimundo Nonato,BR,-9.0153,-42.6994,71.55,78,45,1.5,scattered clouds
11,Lompoc,US,34.6391,-120.4579,54.59,85,100,8.99,overcast clouds
12,Butaritari,KI,3.0707,172.7902,81.81,80,89,17.11,light rain
13,Carnarvon,AU,-24.8667,113.6333,75.06,53,3,11.79,clear sky
14,Krasnoye-Na-Volge,RU,57.5125,41.2419,39.97,53,1,7.99,clear sky
15,Pinega,RU,64.7001,43.3936,32.04,96,62,7.81,broken clouds
16,Victoria,HK,22.2855,114.1577,72.25,75,100,1.99,overcast clouds
17,Saint George,US,37.1041,-113.5841,59.59,35,0,3.44,clear sky
18,Boende,CD,-0.2167,20.8667,73.65,92,50,1.9,light rain
19,Batagay,RU,67.6333,134.6333,10.31,73,75,9.64,broken clouds
20,Dumas,US,35.8656,-101.9732,49.53,23,0,10.36,clear sky
21,Castro,BR,-24.7911,-50.0119,59.94,98,100,5.61,overcast clouds
22,Vardo,NO,70.3705,31.1107,35.58,87,100,21.85,overcast clouds
23,Vaini,TO,-21.2,-175.2,82.56,89,40,9.22,light rain
24,Mar Del Plata,AR,-38.0023,-57.5575,61.09,55,0,7.0,clear sky
25,Ojinaga,MX,29.5667,-104.4167,59.95,67,0,5.75,clear sky
26,Port Elizabeth,ZA,-33.918,25.5701,65.32,96,40,5.75,light rain
27,Albany,US,42.6001,-73.9662,33.4,61,99,11.01,overcast clouds
28,Seymchan,RU,62.8833,152.4333,16.07,80,86,2.19,overcast clouds
29,Itacare,BR,-14.2775,-38.9967,72.37,94,55,4.81,broken clouds
30,Barrow,US,71.2906,-156.7887,-7.58,71,0,10.36,clear sky
31,Hobart,AU,-42.8794,147.3294,55.06,62,75,21.85,broken clouds
32,Dingle,PH,10.9995,122.6711,86.49,61,71,14.63,broken clouds
33,Matara,LK,5.9485,80.5353,89.19,53,55,5.77,moderate rain
34,Kincardine,GB,56.0667,-3.7167,45.91,91,76,2.77,broken clouds
35,Atuona,PF,-9.8,-139.0333,81.28,75,60,18.75,broken clouds
36,Mahebourg,MU,-20.4081,57.7,84.25,78,75,11.5,broken clouds
37,Bixby,US,35.942,-95.8833,54.55,59,0,1.01,clear sky
38,Beroroha,MG,-21.6667,45.1667,78.28,75,99,3.6,overcast clouds
39,Viseu,PT,40.661,-7.9097,52.3,56,80,4.16,broken clouds
40,Port Lincoln,AU,-34.7333,135.8667,62.83,63,39,16.24,scattered clouds
41,Ushuaia,AR,-54.8,-68.3,37.06,75,20,3.44,light rain
42,Mataura,NZ,-46.1927,168.8643,52.88,77,2,2.35,clear sky
43,Clarence Town,AU,-32.5833,151.7833,76.95,49,7,11.03,clear sky
44,Maniitsoq,GL,65.4167,-52.9,27.9,67,95,15.05,overcast clouds
45,Urucui,BR,-7.2294,-44.5561,73.0,86,83,0.74,broken clouds
46,Tura,IN,25.5198,90.2201,91.18,19,1,4.43,clear sky
47,Atkarsk,RU,51.8718,45.0078,44.47,63,54,12.59,broken clouds
48,Bluff,NZ,-46.6,168.3333,55.22,72,0,6.15,clear sky
49,Avarua,CK,-21.2078,-159.775,78.85,89,20,11.5,few clouds
50,Rikitea,PF,-23.1203,-134.9692,76.68,66,33,14.58,scattered clouds
51,Faanui,PF,-16.4833,-151.75,83.39,77,71,22.77,light rain
52,Taltal,CL,-25.4,-70.4833,65.66,85,44,1.88,scattered clouds
53,Port Alfred,ZA,-33.5906,26.891,67.6,75,19,1.77,light rain
54,Nikolskoye,RU,59.7035,30.7861,38.8,83,25,3.0,scattered clouds
55,Skjervoy,NO,70.0311,20.9714,35.6,87,100,9.17,overcast clouds
56,Hervey Bay,AU,-25.2986,152.8535,84.29,41,0,13.15,clear sky
57,Taft,IR,31.7471,54.2088,64.35,15,20,9.22,few clouds
58,Belmonte,BR,-15.8631,-38.8828,75.51,85,13,1.14,few clouds
59,Puerto Ayacucho,VE,5.6639,-67.6236,75.67,84,99,3.58,heavy intensity rain
60,Buraydah,SA,26.326,43.975,68.45,34,81,4.83,broken clouds
61,Pevek,RU,69.7008,170.3133,-10.88,95,61,0.85,broken clouds
62,Aligudarz,IR,33.4006,49.6949,54.68,25,0,4.14,clear sky
63,Victor Harbor,AU,-35.5667,138.6167,60.67,61,82,16.78,broken clouds
64,Hilo,US,19.7297,-155.09,73.13,86,75,3.44,light rain
65,Evensk,RU,61.95,159.2333,11.07,90,28,0.92,scattered clouds
66,Nyurba,RU,63.2842,118.3319,8.19,81,57,11.9,light snow
67,Ostrovnoy,RU,68.0531,39.5131,35.13,83,87,21.54,overcast clouds
68,Sambava,MG,-14.2667,50.1667,81.63,71,27,8.99,scattered clouds
69,Pontianak,ID,-0.0333,109.3333,89.58,55,40,11.5,scattered clouds
70,Saskylakh,RU,71.9167,114.0833,-0.85,91,100,15.26,overcast clouds
71,Fort Dix,US,40.0298,-74.6185,45.66,44,0,5.75,clear sky
72,Ponta Do Sol,PT,32.6667,-17.1,64.0,65,65,2.91,broken clouds
73,Izumo,JP,35.3667,132.7667,57.15,44,40,25.32,scattered clouds
74,Florianopolis,BR,-27.6146,-48.5012,66.42,100,100,4.61,overcast clouds
75,Cape Town,ZA,-33.9258,18.4232,59.41,78,75,11.5,broken clouds
76,Palmer,US,42.1584,-72.3287,38.75,50,0,13.8,clear sky
77,San Vicente,AR,-26.6167,-54.1333,58.68,100,28,2.01,scattered clouds
78,Sao Filipe,CV,14.8961,-24.4956,71.17,78,100,9.86,overcast clouds
79,Norman Wells,CA,65.282,-126.8329,19.44,63,75,13.8,broken clouds
80,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,77,20,13.8,few clouds
81,Acapulco,MX,16.8634,-99.8901,78.62,78,0,4.61,clear sky
82,Svetlogorsk,BY,52.6333,29.7333,46.29,94,100,4.63,overcast clouds
83,Dikson,RU,73.5069,80.5464,-18.26,85,5,8.25,clear sky
84,Lorengau,PG,-2.0226,147.2712,83.62,72,85,10.13,moderate rain
85,Martapura,ID,-3.4167,114.85,89.69,62,40,11.5,scattered clouds
86,Codrington,AU,-38.2667,141.9667,56.77,70,100,22.41,overcast clouds
87,Dunedin,NZ,-45.8742,170.5036,53.74,78,17,16.84,few clouds
88,Bambous Virieux,MU,-20.3428,57.7575,84.22,78,75,11.5,broken clouds
89,Cherskiy,RU,68.75,161.3,1.96,94,87,4.9,overcast clouds
90,Yumen,CN,40.2833,97.2,62.46,7,2,26.98,clear sky
91,Aklavik,CA,68.2191,-135.0107,-9.74,100,99,3.62,overcast clouds
92,Namalenga,TZ,-10.95,39.1,74.05,93,91,2.55,overcast clouds
93,Saint-Philippe,RE,-21.3585,55.7679,83.79,79,58,7.99,light rain
94,Kodiak,US,57.79,-152.4072,29.71,86,100,0.0,light snow
95,Mpwapwa,TZ,-6.35,36.4833,71.89,79,17,4.45,few clouds
96,Chokurdakh,RU,70.6333,147.9167,1.78,93,34,6.58,scattered clouds
97,Lagoa,PT,39.05,-27.9833,55.53,55,11,10.83,few clouds
98,Ribeira Grande,PT,38.5167,-28.7,51.78,73,25,7.0,scattered clouds
99,Coahuayana,MX,18.7333,-103.6833,69.4,81,0,3.67,clear sky
100,Kostino,RU,58.9097,53.2691,37.69,53,87,5.1,overcast clouds
101,Puerto Ayora,EC,-0.7393,-90.3518,76.55,89,100,2.04,overcast clouds
102,Praia Da Vitoria,PT,38.7333,-27.0667,50.25,87,20,7.58,few clouds
103,Saldanha,ZA,-33.0117,17.9442,57.25,79,82,17.72,broken clouds
104,Nhulunbuy,AU,-12.2333,136.7667,79.41,89,75,5.75,light rain
105,Katangli,RU,51.7102,143.2326,29.21,90,100,13.85,overcast clouds
106,Jamestown,US,42.097,-79.2353,35.19,85,0,5.75,clear sky
107,Mandalgovi,MN,45.7625,106.2708,51.85,13,65,22.37,broken clouds
108,Serpa,PT,37.9458,-7.5975,48.16,63,4,3.24,clear sky
109,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,25,0,3.44,clear sky
110,Paddhari,IN,22.4333,70.6,92.17,25,34,6.62,scattered clouds
111,Leningradskiy,RU,69.3833,178.4167,-8.54,96,100,8.93,overcast clouds
112,Aden,YE,12.7794,45.0367,82.54,76,58,20.0,broken clouds
113,Okhotsk,RU,59.3833,143.3,21.29,64,10,5.23,clear sky
114,Srednekolymsk,RU,67.45,153.6833,16.2,86,96,7.05,overcast clouds
115,Ankara,TR,39.9199,32.8543,43.21,85,0,1.14,clear sky
116,Eskil,TR,38.4017,33.4131,44.55,67,41,1.92,scattered clouds
117,Sarankhola,BD,22.3082,89.7897,99.3,16,0,5.48,clear sky
118,Porto Novo,BJ,6.4965,2.6036,82.22,84,84,5.7,broken clouds
119,Clyde River,CA,70.4692,-68.5914,-12.77,77,0,13.8,clear sky
120,Indramayu,ID,-6.3264,108.32,84.31,68,72,8.48,broken clouds
121,Saint-Francois,FR,46.4154,3.9054,29.64,100,100,0.0,fog
122,Arraial Do Cabo,BR,-22.9661,-42.0278,73.63,88,100,9.13,overcast clouds
123,Muros,ES,42.7762,-9.0603,54.99,66,100,5.59,overcast clouds
124,Ancud,CL,-41.8697,-73.8203,46.72,90,87,3.62,overcast clouds
125,Lavrentiya,RU,65.5833,-171.0,-10.07,89,94,6.73,overcast clouds
126,Bredasdorp,ZA,-34.5322,20.0403,58.5,68,100,1.81,overcast clouds
127,Iquitos,PE,-3.7481,-73.2472,75.24,94,20,0.0,light rain
128,Cullera,ES,39.1667,-0.25,60.85,61,15,1.99,few clouds
129,Los Llanos De Aridane,ES,28.6585,-17.9182,56.95,63,40,8.05,scattered clouds
130,Hami,CN,42.8,93.45,63.68,8,10,2.93,clear sky
131,Kilgore,US,32.3863,-94.8758,52.52,93,100,8.05,overcast clouds
132,Nome,US,64.5011,-165.4064,-7.53,77,0,0.0,clear sky
133,Inirida,CO,3.8653,-67.9239,74.64,97,100,2.08,overcast clouds
134,Hofn,IS,64.2539,-15.2082,44.28,97,100,6.89,light rain
135,Bethel,US,41.3712,-73.414,39.88,50,0,6.91,clear sky
